Topic,Section,Instructions,Reference,Question,ParentQuestion,QuestionNotes,Economy,ANSWER,LAW/Website,LINK,SUMMARY,CONFIDENCE,LATENCY_SECONDS,RUN_ID,EVAL_VERDICT,EVAL_JUSTIFICATION,EVAL_CORRECTED_ANSWER,EVAL_CORRECTED_LAW/Website,EVAL_CORRECTED_LINK,EVAL_CORRECTED_SUMMARY,EVAL_CONFIDENCE,EVAL_LATENCY_SECONDS
"Women, Business and the Law",Section 3. Parenthood - Legal Framework,"Assumptions • Both parents work full-time. • They are married and have no other children, this is the couple’s first pregnancy, the woman is pregnant with only one child, the pregnancy and birth have no complications and that the birth of a healthy child takes place on October 1, 2024. • If cash benefits while on leave are not calculated as a set percentage of the employee’s income, assume the employee earns the minimum wage for the food retail sector. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement.",WBL_3_1_2,3.1.2. How many days of paid shared parental leave are employees legally entitled to? 01: Yes | 00: No,WBL_3_1,"“Days” refers to calendar days. Shared paid parental leave refers to leave that can be shared by the parents as they see fit. It does not include leave that each parent is individually entitled to. Answer (from WBL Do you want to propose a change Your updated answer if you select database) to the answer? “Change” : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” Legal Basis (from WBL database) Has a new law or an amendment been enacted since October 2, 2023? : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” • Yes • No Please click here to: 1) Indicate a different or additional legal basis; 2) Cite a newly enacted or amended law; 3) Indicate if this question is outside your expertise; or 4) Add comments.",Canada,280 days (standard parental benefits) or 483 days (extended parental benefits),Employment Insurance Act; Government of Canada — Maternity and parental benefits (EI),https://laws-lois.justice.gc.ca/eng/acts/E-5.6/ ; https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html,"Canada provides paid parental benefits through the federal Employment Insurance (EI) program, which parents may share. Under the EI scheme parents may choose the standard option (up to 40 weeks of parental benefits = 40 × 7 = 280 days) or the extended option (up to 69 weeks = 69 × 7 = 483 days). These benefits are paid by the federal EI program (Employment Insurance Act and regulations) rather than being an employer-funded entitlement. Note per the federal rules a parent who also receives maternity benefits is limited in the number of parental weeks they personally may receive (e.g. a maximum of 35 weeks under the standard option and 61 weeks under the extended option as set out in Canada’s EI guidance). Sources: Employment Insurance Act and the Government of Canada “Maternity and parental benefits” information pages (as of 1 Sept 2024).",0.4,41.28,2010c144-c3af-4a45-9368-9d32e8efd4a8,Correct,"The figures match federal EI rules as set out in the Employment Insurance framework and the Government of Canada “Maternity and parental benefits” guidance: parents may share up to 40 weeks (standard) or 69 weeks (extended) of parental benefits (40×7=280 days; 69×7=483 days). Limits apply where a parent also receives maternity benefits (max 35 weeks standard / 61 weeks extended). Benefits are paid under the federal EI program, not employer-funded. Sources: Employment Insurance Act/regulations and Canada.ca EI parental benefits pages (as cited).",CORRECTED_LAW/Website:,,,,0.95,18.19
"Women, Business and the Law",Section 3. Parenthood - Legal Framework,"Assumptions • Both parents work full-time. • They are married and have no other children, this is the couple’s first pregnancy, the woman is pregnant with only one child, the pregnancy and birth have no complications and that the birth of a healthy child takes place on October 1, 2024. • If cash benefits while on leave are not calculated as a set percentage of the employee’s income, assume the employee earns the minimum wage for the food retail sector. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement. Definitions • Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth. • Paternity leave refers to leave available only to the father for the birth of a child. • Shared parental leave refers to parental leave that can be shared amongst the parents as they choose. “Parental leave” refers to leave available equally to parents— regardless of gender—for the purpose of childcare immediately following maternity and paternity leave or instead of maternity and paternity leave. • Parental leave for the mother refers to days of parental leave reserved specifically for mothers— through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. • Parental leave for the father refers to days of parental leave reserved specifically for fathers— that is, through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement.",WBL_3_1_3,3.1.3. How many days of paid parental leave reserved for the mother are employees legally entitled to? 01: Yes | 00: No,WBL_3_1,"“Days"" refers to calendar days. This question refers to days of parental leave reserved specifically for mothers—through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement. Answer (from WBL Do you want to propose a change Your updated answer if you select database) to the answer? “Change” 26",Canada,0,"Employment Insurance Act (R.S.C., 1985, c. E-5) and Government of Canada — EI maternity and parental benefits guidance",https://laws-lois.justice.gc.ca/eng/acts/E-5/; https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html,"Under Canadian federal law, paid benefits reserved specifically for the birth mother are provided as ""maternity benefits"" (up to 15 weeks/105 days) under the Employment Insurance Act. Parental benefits (the shared benefit available to parents) are not reserved exclusively for the mother and are generally transferable between parents (standard parental benefit up to 40 weeks or extended up to 69 weeks, with specific sharing rules). Therefore, there are 0 days of paid parental leave that are legally reserved for the mother; the mother has maternity benefits reserved to her, but parental benefits themselves contain no non-transferable days reserved for the mother. (Sources: Employment Insurance Act definitions and benefit categories; Government of Canada EI maternity and parental benefits guidance.)",0.7,28.33,67abb14b-d8e4-4f6e-bd17-00eaa6bed569,Correct,"The Employment Insurance Act and Government of Canada guidance distinguish maternity benefits (up to 15 weeks reserved for the birth mother) from parental benefits. Parental benefits are shared between parents (standard up to 40 weeks, one parent limited to 35; extended up to 69 weeks, one parent limited to 61), but no parental-benefit days are legally reserved specifically for the mother. (Sources: Employment Insurance Act; Canada.ca — EI maternity and parental benefits.)",CORRECTED_LAW/Website:,,,,0.9,21.13
"Women, Business and the Law",Section 3. Parenthood - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_3_1,3.1. Is it possible to apply for maternity benefits using a single government application process? 01: Yes | 00: No,WBL_3,A single government application process refers to applying for maternity benefits through a single application without additional steps or different government agencies. Answer (from WBL database) Do you want to propose a change to the answer? Source (from WBL database) Please click here to: 1) Indicate a different or additional source; 2) Add links; or 3) Add comments,Canada,Yes,Employment and Social Development Canada / Service Canada — Employment Insurance (EI) maternity and parental benefits application; (Quebec exception: Quebec Parental Insurance Plan (QPIP) administered provincially),"https://www.canada.ca/en/services/benefits/ei/ei-apply.html , https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html , https://www.quebec.ca/en/family-and-support-for-individuals/parental-insurance-plan/","Service Canada (Employment and Social Development Canada) provides a single, operational application process for EI maternity (and related parental) benefits via the online “Apply for Employment Insurance” / My Service Canada Account platform, with alternate application by phone or in person through Service Canada centres. The federal EI application lets eligible claimants submit one application that covers maternity and parental benefit types. Quebec is an exception: maternity/parental benefits are administered under the Quebec Parental Insurance Plan (QPIP) and are applied for through the provincial process (Retraite Québec/Quebec government). Both the federal and Quebec systems offer a single-government application route within their jurisdictions as of 1 September 2024.",0.9,26.62,450bcfe8-cee1-4f83-a494-97219c2b02a9,Correct,Service Canada’s “Apply for Employment Insurance” / My Service Canada Account is the single federal application for EI maternity and parental benefits (Employment Insurance program) and covers both benefit types (see Canada.ca EI application pages). Quebec is a statutory exception — the Quebec Parental Insurance Plan is administered provincially and has its own application process via the Quebec government (Quebec.ca QPIP). Sources cited by A0 are authoritative and current as of 1 Sept 2024.,CORRECTED_LAW/Website:,,,,0.95,15.2
"Women, Business and the Law",Section 3. Parenthood - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_3_2,3.2. Are incentives in place to encourage fathers to take paternity leave upon the birth of a child? 01: Yes | 00: No,WBL_3,"Incentives that promote fathers’ uptake of leave may include, but are not limited to, compulsory paternity leave, bonus/cash payments, bonus parental leave, guaranteed job protection, flexible or part-time paternity leave, or higher wage replacement. Answer (from WBL database) Do you want to propose a change to the answer? Source (from WBL database) Please click here to: 1) Indicate a different or additional source; 2) Add links; or 3) Add comments",Canada,Yes,Quebec Parental Insurance Plan (Retraite Québec) — plus federal EI parental benefits (Service Canada / Employment and Social Development Canada),https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html,"Canada’s federal Employment Insurance (EI) parental benefit framework provides paid parental leave that parents can share, but it does not include a federal non‑transferable “father’s quota” specifically reserved to encourage paternity leave. In contrast, Quebec’s distinct Parental Insurance Plan (QPIP), administered provincially, includes father‑/partner‑specific weeks (paternity benefit) and other dedicated, non‑transferable weeks designed to incentivize fathers/partners to take leave. These provincial instruments (QPIP) therefore act as a concrete policy incentive for fathers to take paternity leave, while the federal EI program offers shared parental benefits and many employers or collective agreements provide top‑ups or targeted supports but no universal federal father‑only quota as of 1 September 2024.",0.9,30.89,8392cc24-c545-48b8-b164-c0a8e8b0dfe0,Correct,"A0 accurately notes that federal EI parental benefits are shareable and do not create a nationwide non‑transferable “father’s quota” (see Service Canada, EI maternity and parental benefits). It also correctly identifies Quebec’s Parental Insurance Plan (Retraite Québec/QPIP) as providing father/partner‑specific, non‑transferable paternity and reserved parental weeks that act as incentives for fathers to take leave. These statements align with official federal and Quebec program materials as of 1 Sept 2024.",CORRECTED_LAW/Website:,,,,0.9,22.23
"Women, Business and the Law",Section 4. Childcare - Legal Framework,"Definitions • Center-based childcare services: early childhood care and education services offered to children aged 0-2 years (including 2 years and 11 months) on a regular basis at formally registered nurseries, day cares, crèches, or preschools. The primary objective of childcare as a service is caring for children while parents are working while ensuring children are safe and have opportunities to learn and play.",WBL_4_1_1,4.1.1.a. Does the law establish the provision of childcare services by the government? 01: Yes | 00: No,WBL_4_1,"Services offered at center-based facilities operated and funded by the government. Answer (from WBL database) Do you want to propose a change to the answer? Legal Basis (from WBL database) Has a new law or an amendment been enacted since October 2, 2023? : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” • Yes • No Please click here to: 1) Indicate a different or additional legal basis; 2) Cite a newly enacted or amended law; 3) Indicate if this question is outside your expertise; or 4) Add comments.",Canada,Yes,"Child Care and Early Years Act, 2014 (Ontario); Canada-wide Early Learning and Child Care (ELCC) agreements (federal program framework)",https://www.ontario.ca/laws/statute/14c11,"Ontario’s Child Care and Early Years Act, 2014 (CCEYA) establishes a statutory framework for publicly funded, licensed child care in the province, including provisions for licensing, funding and the roles/duties of the Minister and municipal service system managers to deliver and administer child‑care services (CCEYA, Schedules and regulations). At the federal level, the Government of Canada has created the Canada‑wide Early Learning and Child Care (ELCC) system via bilateral agreements with provinces/territories to expand affordable, publicly supported child care; while the ELCC is implemented under federal program authority rather than a single federal statute, it is a binding federal‑provincial framework that funds government provision of services (Employment and Social Development Canada). Together these legal/regulatory instruments establish government provision and administration of childcare services in Ontario/Toronto.",0.9,26.28,8b5d16f0-57a5-4dec-acba-a113d7a18506,Correct,"The CCEYA (Child Care and Early Years Act, 2014) is the Ontario statute creating a licensing/funding/administration framework (Minister and municipal service system managers) for publicly funded child care (see Ontario e-Laws). At the federal level, the Canada-wide Early Learning and Child Care (ELCC) agreements (administered by ESDC/Employment and Social Development Canada) create binding bilateral funding/framework arrangements to expand publicly supported child care. Together these authorities support government provision—correct as of 1 Sept 2024. (See: Ontario e‑Laws CCEYA; Government of Canada ELCC program pages.)",CORRECTED_LAW/Website:,,,,0.9,11.48
"Women, Business and the Law",Section 4. Childcare - Legal Framework,"Definitions • Center-based childcare services: early childhood care and education services offered to children aged 0-2 years (including 2 years and 11 months) on a regular basis at formally registered nurseries, day cares, crèches, or preschools. The primary objective of childcare as a service is caring for children while parents are working while ensuring children are safe and have opportunities to learn and play.",WBL_4_1_1,4.1.1.b. Does the law establish the provision of childcare services by the private centers? 01: Yes | 00: No,WBL_4_1,Privately-run childcare centers can be non-profit or for-profit entities and are not operated and funded by the government. Answer (from WBL database) Do you want to propose a change to the answer? 34,Canada,Yes,"Child Care and Early Years Act, 2014 (Ontario); Canada-wide Early Learning and Child Care (ELCC) agreements (federal program framework)",https://www.ontario.ca/laws/statute/14c11,"Ontario’s Child Care and Early Years Act, 2014 (CCEYA) establishes a statutory framework for publicly funded, licensed child care in the province, including provisions for licensing, funding and the roles/duties of the Minister and municipal service system managers to deliver and administer child‑care services (CCEYA, Schedules and regulations). At the federal level, the Government of Canada has created the Canada‑wide Early Learning and Child Care (ELCC) system via bilateral agreements with provinces/territories to expand affordable, publicly supported child care; while the ELCC is implemented under federal program authority rather than a single federal statute, it is a binding federal‑provincial framework that funds government provision of services (Employment and Social Development Canada). Together these legal/regulatory instruments establish government provision and administration of childcare services in Ontario/Toronto.",0.9,26.28,8b5d16f0-57a5-4dec-acba-a113d7a18506,Correct,"Ontario’s Child Care and Early Years Act, 2014 (S.O. 2014, c. 11) establishes a statutory framework for licensed, publicly funded child care and assigns roles to the Minister and service system managers. The federal Canada-wide Early Learning and Child Care (ELCC) initiative (bilateral agreements administered by Employment and Social Development Canada) provides binding federal funding and program frameworks with provinces/territories. Together these instruments support government provision/administration of childcare in Ontario. Note: childcare is primarily a provincial jurisdiction; the federal role is programmatic/funding rather than a single federal statute. (Sources: CCEYA; ESDC ELCC material.)",CORRECTED_LAW/Website:,,,,0.9,14.89
"Women, Business and the Law",Section 4. Childcare - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_4_1,4.1. Is there a publicly available registry or database of childcare providers? 01: Yes | 00: No,WBL_4,,Canada,Yes,Provincial and territorial licensed child-care provider registries (linked from the Government of Canada child-care portal),https://www.canada.ca/en/employment-social-development/programs/early-learning-child-care.html,"Child care in Canada is administered at the provincial/territorial level and, as of 1 September 2024, each province and territory maintains a publicly accessible registry or searchable database of licensed child‑care providers (examples above). These registries typically show licensing status, location, contact information and basic program details. There is no single consolidated national registry; the federal Government of Canada early learning and child‑care portal provides links to the provincial/territorial databases and guidance. The listed links are official government pages providing the public-facing registries or directories.",0.9,26.08,38ea7815-dcd4-4ecb-836e-0b82e59c7409,Correct,Child care is provincially/territorially regulated in Canada and the federal Early Learning and Child Care portal links to provincial/territorial provider registries. Provinces/territories maintain public searches/directories (e.g. Ontario “Find child care” https://www.ontario.ca/page/find-child-care; Alberta “Finding child care” https://www.alberta.ca/finding-child-care.aspx; BC licensing/search pages via https://www2.gov.bc.ca). This aligns with the cited Government of Canada portal.,CORRECTED_LAW/Website:,,,,0.9,17.56
"Women, Business and the Law",Section 4. Childcare - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_4_2,4.2.a. Is there a clearly outlined application procedure to request financial support from the government for childcare services by parents? 01: Yes | 00: No,WBL_4,,Canada,Yes,Canada-wide Early Learning and Child Care (CWELCC) system (federal-provincial/territorial agreements) — administered by Employment and Social Development Canada (federal) and by provincial/territorial ministries that operate childcare subsidy programs,- Federal CWELCC overview: https://www.canada.ca/en/employment-social-development/programs/early-learning-child-care.html,"The federal CWELCC framework (Employment and Social Development Canada) provides national funding and public guidance, while provinces and territories operate and publish clearly outlined, operational application procedures and portals for parental financial support for childcare (fee subsidies, reduced fees). Federal materials direct parents to their provincial/territorial application processes; examples include online application guidance in Ontario, British Columbia, Quebec and other jurisdictions. In addition, the Canada Child Benefit (CRA) has an established application process for family income supports. There is no single, unified national parent application form — instead parents follow the clearly documented provincial/territorial procedures to request childcare financial support.",0.9,22.43,88ae8999-b9c0-45b7-a47a-c4fd1f9829eb,Correct,"Federal CWELCC provides funding but directs parents to provincial/territorial subsidy schemes; provinces/territories publish operational application procedures and portals (e.g., Ontario: ""Apply for a child care fee subsidy"";",CORRECTED_LAW/Website:,,,,0.92,12.22
"Women, Business and the Law",Section 4. Childcare - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_4_2,4.2.b. Is there a clearly outlined application procedure to request financial support from the government for childcare services by private centers? 01: Yes | 00: No,WBL_4,,Canada,Yes,Canada-wide Early Learning and Child Care (CWELCC) system (federal-provincial/territorial agreements) — administered by Employment and Social Development Canada (federal) and by provincial/territorial ministries that operate childcare subsidy programs,- Federal CWELCC overview: https://www.canada.ca/en/employment-social-development/programs/early-learning-child-care.html,"The federal CWELCC framework (Employment and Social Development Canada) provides national funding and public guidance, while provinces and territories operate and publish clearly outlined, operational application procedures and portals for parental financial support for childcare (fee subsidies, reduced fees). Federal materials direct parents to their provincial/territorial application processes; examples include online application guidance in Ontario, British Columbia, Quebec and other jurisdictions. In addition, the Canada Child Benefit (CRA) has an established application process for family income supports. There is no single, unified national parent application form — instead parents follow the clearly documented provincial/territorial procedures to request childcare financial support.",0.9,22.43,88ae8999-b9c0-45b7-a47a-c4fd1f9829eb,Correct,"The CWELCC framework (Employment and Social Development Canada) provides federal funding and directs parents to provincial/territorial subsidy programs; provinces/territories operate and publish specific application procedures and portals (e.g., Ontario ""Child Care Fee Subsidy"" — Ontario Ministry of Education; British Columbia ""Child Care Subsidy"" — gov.bc.ca; Québec ""contribution réduite"" / places à contribution réduite — gouv.qc.ca). The Canada Child Benefit (CRA) has its own application process for family income support. Sources: ESDC CWELCC overview (Canada.ca) and provincial subsidy webpages confirm clearly outlined procedures.",CORRECTED_LAW/Website:,,,,0.9,12.75
"Women, Business and the Law",Section 4. Childcare - Policy Instruments,"This final part focuses on policy instruments that support the implementation of laws. These may include national policies and action plans, institutions responsible for monitoring and enforcing laws, access to justice measures, government programs and services, and statistical data. Only instruments that are in place and operational should be considered. For the purpose of this Part, the “Source” field refers to the official source of information that can be used as a reference to substantiate the answer. Sources can include, for example, the title of an action plan and its issuing agency, the names of institutions, courts, police units, governmental agencies, or the title of sex-disaggregated datasets and their respective issuing agencies. Please provide links to sources where feasible.",WBL_4_2,4.2.c. Is there a clearly outlined application procedure to request financial support from the government for childcare services by employers? 01: Yes | 00: No,WBL_4,,Canada,Yes,Canada-wide Early Learning and Child Care (CWELCC) system (federal-provincial/territorial agreements) — administered by Employment and Social Development Canada (federal) and by provincial/territorial ministries that operate childcare subsidy programs,- Federal CWELCC overview: https://www.canada.ca/en/employment-social-development/programs/early-learning-child-care.html,"The federal CWELCC framework (Employment and Social Development Canada) provides national funding and public guidance, while provinces and territories operate and publish clearly outlined, operational application procedures and portals for parental financial support for childcare (fee subsidies, reduced fees). Federal materials direct parents to their provincial/territorial application processes; examples include online application guidance in Ontario, British Columbia, Quebec and other jurisdictions. In addition, the Canada Child Benefit (CRA) has an established application process for family income supports. There is no single, unified national parent application form — instead parents follow the clearly documented provincial/territorial procedures to request childcare financial support.",0.9,22.43,88ae8999-b9c0-45b7-a47a-c4fd1f9829eb,Correct,The CWELCC is a federal-provincial/territorial funding framework (administered at federal level by ESDC) that directs parents to provincially/territorially administered childcare subsidy application procedures and portals; provinces/territories publish operational application guidance. The Canada Child Benefit (CRA) also has an established application process. See ESDC CWELCC overview (https://www.canada.ca/en/employment-social-development/programs/early-learning-child-care.html) and CRA CCB information (https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html).,CORRECTED_LAW/Website:,,,,0.95,13.81
"Women, Business and the Law",Section 5. Pension - Legal Framework,"Assumptions • Assume that the woman gave birth without complications to two healthy children. • If transitional provisions gradually increase, decrease or equalize the retirement age, please indicate the retirement ages at the time of your response to this questionnaire, even if the law provides for changes over time. • If there is no national law on retirement and pension, the answer is “N/A”.",WBL_5_1,5.1. Are the ages at which a woman and a man can retire the same? 01: Yes | 00: No,WBL_5,,Canada,Yes,Canada Pension Plan; Old Age Security Act; Canadian Human Rights Act (and Ontario Human Rights Code / Ontario Pension Benefits Act as applicable),https://laws-lois.justice.gc.ca/eng/acts/C-8/ (Canada Pension Plan),"Federal statutory pension programs do not set different retirement ages by sex. The Canada Pension Plan provides a standard retirement age of 65 (with options to take reduced benefits as early as 60 or to defer up to age 70) for all contributors, and the Old Age Security pension is payable at age 65—both without any sex-based distinction (see CPP and OAS Acts). In addition, federal and provincial human rights legislation (Canadian Human Rights Act; Ontario Human Rights Code) prohibit discrimination on the basis of sex in employment and benefits, and Ontario’s Pension Benefits Act contains no differing ages for men and women. Therefore, under binding Canadian law as of 1 September 2024, men and women have the same statutory retirement ages.",0.9,17.46,f450a5c0-8353-4018-97e2-85e5ccd95790,Correct,Federal law treats retirement ages identically by sex: the Canada Pension Plan provides a standard retirement age of 65 (early from 60; defer/boost to 70) and Old Age Security is payable at 65. Federal and provincial human-rights and pension statutes prohibit sex-based differentiation (Canada Pension Plan Act; Old Age Security Act; Canadian Human Rights Act; e.g. Ontario Human Rights Code and Pension Benefits Act).,CORRECTED_LAW/Website:,,,,0.95,12.14
"Women, Business and the Law",Section 5. Pension - Legal Framework,"Assumptions • Assume that the woman gave birth without complications to two healthy children. • If transitional provisions gradually increase, decrease or equalize the retirement age, please indicate the retirement ages at the time of your response to this questionnaire, even if the law provides for changes over time. • If there is no national law on retirement and pension, the answer is “N/A”.",WBL_5_1_1,5.1.1. What is the age at which a woman can retire and receive full benefits? 01: Yes | 00: No,WBL_5_1,"Answer (from WBL Do you want to propose a change Your updated answer if you select database) to the answer? “Change” : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” Legal Basis (from WBL database) Has a new law or an amendment been enacted since October 2, 2023? : This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” • Yes • No Please click here to: 1) Indicate a different or additional legal basis; 2) Cite a newly enacted or amended law; 3) Indicate if this question is outside your expertise; or 4) Add comments.",Canada,65,Canada Pension Plan; Old Age Security Act,https://laws-lois.justice.gc.ca/eng/acts/C-8/ ; https://laws-lois.justice.gc.ca/eng/acts/O-9/ ; https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-benefit/retirement-pension.html ; https://www.canada.ca/en/services/benefits/publicpensions/old-age-security.html,"Under federal pension law, both women and men qualify for full public retirement benefits at age 65. The Canada Pension Plan (CPP) provides a standard (unreduced) retirement pension at age 65 (with options to take a reduced pension as early as 60 or an increased pension if deferred to age 70). The Old Age Security (OAS) pension likewise has a normal entitlement age of 65 (with options to defer up to age 70). These rules are set out in the Canada Pension Plan and the Old Age Security Act and implemented by Service Canada; there is no different statutory full-benefit age for women.",0.5,13.61,820b30ae-c859-45ab-b06b-9d45d5585a7c,Correct,"Federal law (Canada Pension Plan and Old Age Security Act) provides an unreduced retirement pension at age 65 for all beneficiaries, with options to take reduced benefits from age 60 or defer to age 70 for an increased pension (CPP and OAS guidance from Government of Canada). There is no different statutory full-benefit age for women. (Quebec's comparable Quebec Pension Plan likewise sets normal retirement at 65.) Sources: CPP and OAS statutes and Service Canada guidance.",CORRECTED_LAW/Website:,,,,0.95,10.33
